Amenities,Bedrooms,Bathrooms,Area (m²),Furnished,Level,Ad Type,Type,Payment Option,price,title,location,Compound
"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,110,No,1,For Sale,Apartment,Cash,"600,000 EGPnegotiable",ارخص شقه للبيع جاردنيا 1 بالتجمع الخامس اس...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Private Garden,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter",5,5,909,No,Ground,For Sale,Penthouse,Cash,"9,800,000 EGP",التجمع الخامس فيلا خاصه كمباوند كونكورد جا...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,220,,4,For Sale,Apartment,Cash or Installment,"500,000 EGPnegotiable",رووف مميز بالتجمع الخامس 220متر,New Cairo - El Tagamoa,Abu Al-Hool
,2,2,140,Yes,5,For Sale,Apartment,Cash,"650,000 EGP",شقه للبيع بحدائق الاهرام,New Cairo - El Tagamoa,Abu Al-Hool
,2,2,130,,2,For Sale,Apartment,Installment,"620,000 EGP",شقة بجاردينيا هايتس علي 3 وجهات وحديقة 400...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter,Natural Gas",3,2,110,No,1,For Sale,Apartment,Cash,"600,000 EGP",شقة لقطة,New Cairo - El Tagamoa,Abu Al-Hool
"Elevator,Landline,Natural Gas,Electricity Meter,Security,Balcony",3,3,220,No,3,For Sale,Apartment,Cash,"1,100,000 EGP",التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Private Garden,Electricity Meter",3,2,180,No,1,For Sale,Apartment,Cash,"525,000 EGPnegotiable",شقة للبيع بجاردينيا,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,95,No,1,For Sale,Apartment,Cash,"425,000 EGP",شقة 95م تشطيب كامل بسعر400 الف في جاردينيا...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter",2,1,100,No,2,For Sale,Apartment,Cash,"1,000 EGP",شقة للبيع في التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,120,,3,For Sale,Apartment,,"675,000 EGP",شقة 120متر بالتجمع الخامس فيو مميز,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,230,,2,For Sale,Apartment,,"1,100,000 EGP",شقة 230م بالتجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Private Garden,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,130,,Ground,For Sale,Apartment,Installment,"1,000,000 EGPnegotiable",شقة فى التجمع الخامس فورى,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Covered Parking,Security,Electricity Meter",2,1,125,,3,For Sale,Apartment,Cash or Installment,"750,000 EGPnegotiable",شقه للبيع في التجمع الخامس 125 متر في جارد...,Nasr City,Abu Al-Hool
"Balcony,Covered Parking,Pets Allowed,Private Garden,Electricity Meter",3,2,160,No,Ground,For Sale,Apartment,Cash or Installment,"1,000,000 EGPnegotiable",ارضي بحديقه للبيع في التجمع الخامس 160 متر...,Nasr City,Abu Al-Hool
Balcony,3,1,125,No,2,For Sale,Apartment,Installment,"735,000 EGPnegotiable",لراغبي التميز: شقة للبيع في جاردينيا هايتس...,New Cairo - El Tagamoa,Abu Al-Hool
"Elevator,Electricity Meter,Covered Parking,Balcony,Water Meter",2,2,116,,1,For Sale,Apartment,,"620,000 EGPnegotiable",شقة ١١٦ متر بالتجمع الخامس - جاردينيا ١,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,200,No,1,For Sale,Apartment,Cash or Installment,"1,750,000 EGP",جاردينيا هايتس 1 _ التجمع الخامس _ شقق,New Cairo - El Tagamoa,Abu Al-Hool
"Electricity Meter,Water Meter",3,2,215,No,2,For Sale,Apartment,Cash or Installment,"12,000,000 EGPnegotiable",شقه للبيع التجمع الخامس جاردينيا ( ابو اله...,New Cairo - El Tagamoa,Abu Al-Hool
"Electricity Meter,Water Meter",2,1,115,No,1,For Sale,Apartment,Cash or Installment,"600,000 EGPnegotiable",شقه للبيع التجمع الخامس جاردينيا ( ابو اله...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Pets Allowed,Electricity Meter,Water Meter,Elevator",3,2,200,No,2,For Sale,Apartment,Cash,"1,000,000 EGP",شقه لقطه للبيع بالتجمع الخامس 200مفي جاردي...,New Cairo - El Tagamoa,Abu Al-Hool
Balcony,2,1,115,No,2,For Sale,Apartment,Cash,"790,000 EGPnegotiable",شقه للبيع لقطه بجاردينيا 1 تشطيب سوبر لوكس...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,170,No,Ground,For Sale,Apartment,Cash or Installment,"855,000 EGP",اشترى شقتك من المالك نفسه وتسليم فوري وبال...,New Cairo - El Tagamoa,Abu Al-Hool
,5,2,300,No,1,For Sale,Duplex,Cash,"1,300,000 EGPnegotiable",دوبلكس في التجمع الخامس,Nasr City,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter,Landline",2,1,120,No,3,For Sale,Apartment,Cash,"560,000 EGP",شقة ١٢٠متر- جاردينيا هايتس ٢ التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Pets Allowed,Electricity Meter,Water Meter,Landline",3,2,155,No,Ground,For Sale,Apartment,Cash or Installment,"1,300,000 EGP",شقة ١٥٥م +١٥ م ممرخاص للبيع جاردينيا ٣ الت...,New Cairo - El Tagamoa,Abu Al-Hool
,3,1,142,No,Ground,For Sale,Apartment,,"650,000 EGP",شقه دور ارضى ب 650 الف ف التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Covered Parking,Water Meter,Natural Gas,Landline,Elevator",3,2,180,,1,For Sale,Apartment,,"2,100,000 EGPnegotiable",شقة الحى الخامس دور اول الترا لوكس فيو جار...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",4,3,300,No,4,For Sale,Penthouse,Cash,"1,850,000 EGP",فرصة ذهبية ولقطة بنتهاوس 300 متر بعمارات ا...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter",2,1,105,No,3,For Sale,Apartment,Cash,"550,000 EGP",شقه للبيع التجمع الخامس جاردينيا هايتس,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,110,,3,For Sale,Apartment,Cash,"550,000 EGP",شقة امامي لُقطة بالتجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Built in Kitchen Appliances,Covered Parking,Pets Allowed,Private Garden,Electricity Meter,Water Meter,Landline",5,3,400,No,Ground,For Sale,Duplex,Cash,"2,750,000 EGPnegotiable",بسعر لن يتكرر دوبلكس 400 متر بفيلات البنفس...,New Cairo - El Tagamoa,Abu Al-Hool
"Electricity Meter,Water Meter,Elevator",2,1,105,No,3,For Sale,Apartment,Cash,"700,000 EGPnegotiable",للبيع شقه سكنية با جاردينيا هيتس 1 التجمع ...,New Cairo - El Tagamoa,Abu Al-Hool
"Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,115,,2,For Sale,Apartment,,"1,150,000 EGPnegotiable",شقة بمنطقة البنفسج التجمع دور تاني باسانسي...,New Cairo - El Tagamoa,Abu Al-Hool
"Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,226,,2,For Sale,Apartment,,"2,080,000 EGPnegotiable",شقة 226 متر البنفسج دور تانى اسانسير سوبر ...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,185,,1,For Sale,Apartment,,"2,071,000 EGP",شقة للبيع بكمبوند حياتي ريزيدانس بالقرب من...,New Cairo - El Tagamoa,Abu Al-Hool
"Private Garden,Electricity Meter",3,2,200,No,2,For Sale,Apartment,Cash or Installment,"6,250 EGP",شقة للبيع بالتجمع ضبل فيس بحري في جاردينيا...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,143,No,1,For Sale,Apartment,Cash or Installment,"5,900 EGP",جاردينيا هايتس التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
,3,1,135,No,2,For Sale,Apartment,Cash or Installment,"796,000 EGP",جاردينيا هايتس التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Private Garden,Electricity Meter,Water Meter,Landline",3,2,170,No,Ground,For Sale,Apartment,Cash or Installment,"1,000,000 EGPnegotiable",جاردينيا هايتس,New Cairo - El Tagamoa,Abu Al-Hool
