,title,location,bedrooms,bathrooms,area,price,compound
8804,امتلك احلي فيو باقل سعر ف العاصمه الادرية الجديده,"Park Lane, New Capital Compounds, New Capital City, Cairo",3,2,190,1921398.0,1
8805,لدواعي السفر شقة للبيع ارضي بحديقة - النرجس عمارات,"El Narges Buildings, Al Narges, New Cairo City, Cairo",2,2,118,1350000.0,0
8806,شقة 330 م للبيع بالتقسيط بحي بيت الوطن قسط 8 سنوات,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",2,1,330,2125000.0,0
8807,بسعر مش هيتكررشقه 156م  فى كمبوند جالريا مون فالى,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,2,156,1350000.0,0
8808,شقة 240م لليبيع كومباوند ماهيكا بالتجمع قسط 70 شهر,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,1,240,1470000.0,0
8809,مدينتي. مجموعه ١٠٣. متبقي ٤٠٠ الف. على ٤ سنوات,"Madinaty, Cairo",0,1,56,600000.0,0
8810,شقه ممتازه 220م علي حديقه بالياسمين 6,"El Yasmeen 6, El Yasmeen, New Cairo City, Cairo",3,2,220,2300000.0,0
8811,"موقع مميز بحري بواجهة مميزة بمقدم يبدأ من 563,750","Al Shouyfat, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,1,205,563750.0,1
8812,للبيع شقة بموقع متميز بالياسمين ٨ فيو جنينة,"El Yasmeen 8, El Yasmeen, New Cairo City, Cairo",3,2,200,2500000.0,0
8813,شقة للبيع بابوالفداء  مميزة الزمالك,"Abou Al Feda St., Zamalek, Cairo",2,2,125,3400000.0,0
8814,شقه ارضي بحديقه  في مدينه الرحاب تشطيبات خاصه,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",3,3,138,2300000.0,0
8815,شقتك في بيت الوطن مباشرة على محور محمد بن زايد,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3,178,1249800.0,0
8816,شقة لقطة للبيع ارضي 123م بحديقة 50م فيو وايت جاردن,"Madinaty, Cairo",3,2,123,1600000.0,0
8817,شقة بمدينتي بالمرحلة العاشرة  .,"Madinaty, Cairo",3,2,108,960000.0,0
8818,شقه 132 في مدينتي B6 للبيع,"Madinaty, Cairo",3,2,132,1600000.0,0
8819,لينكد فيلا محدوده بكمبوند فندقي بالعاصمه بالتكيفات,"Rivan, New Capital Compounds, New Capital City, Cairo",4,4,635,8570000.0,1
8820,شقه للبيع بمدينتي تخصيص هيئة المجتمعات العمرانيه,"Madinaty, Cairo",3,1,143,680000.0,0
8821,"بدون اوفر""ارضى للبيع فى كمبوند ستون ريزيدنس-التجمع","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,200,2850000.0,1
8822,شقة سوبر لوكس للبيع بحي جاردن سيتي الراقي,"Ahmed Ragheb St., Garden City, Cairo",2,2,200,3600000.0,0
8823,تمليك الرحاب 211م فيو وايد جاردن قريب للسوق الشرقي,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",3,3,211,3350000.0,0
8824,شقه للبيع بمدينتي بالبي٧ فيو جاردن,"Madinaty, Cairo",2,2,96,1100000.0,0
8825,شقة فى مدينتى 75 م2 قبلى للبيع تقسيط,"Madinaty, Cairo",2,1,75,800000.0,0
8826,شقتك 145م بالشروق امام نادي هليوبوليس بالتقسيط,"El Nady District, Shorouk City, Cairo",3,1,145,928000.0,0
8827,فرصه بمدينتي للبيع تشطبات خاصه موقع مميز 96,"Madinaty, Cairo",3,1,96,1130000.0,0
8828,شقة للبيع في مدينتي B3 مساحة 141 متر,"Madinaty, Cairo",3,2,141,2150000.0,0
8829,شقة للبيع في مدينتي b6 مساحة 92 متر,"Madinaty, Cairo",2,1,92,1000000.0,0
8830,شقة للبيع بمصر الجديدة  بجوار قصر البارون 440متر,"Hassan Sadek St., El Korba, Heliopolis - Masr El Gedida, Cairo",4,4,440,8000000.0,0
8831,باقل سعر بيع ٢٦٦م فيو وايد جاردن خرافى,"Madinaty, Cairo",3,3,266,3320000.0,0
8832,شقة اكسترا سوبرلوكس للبيع الياسمين القاهرة الجديدة,"Al Yasmeen Square, El Yasmeen, New Cairo City, Cairo",3,3,200,2550000.0,0
8833,لعشاق النوادر و الفرص.                           .,"Madinaty, Cairo",3,3,175,2400000.0,0
8834,شقه للبيع بجنوب الاكاديميه 205 متر,"Area B, Ganoob El Acadimia, New Cairo City, Cairo",3,2,205,2200000.0,0
8835,شقة للبيع بمدينتي 82م بي7 تشطيب الترا سوبر لوكس,"Madinaty, Cairo",2,1,82,950000.0,0
8836,شقه متشطبه بالكامل فى افضل كمبوند بالتجمع,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,2,147,3040000.0,0
